Municipality,County,MRI Score,Latitude,Longitude,Bing Search Link
Aberdeen township,Monmouth,2.33,40.4071138,-74.2216287,https://www.bing.com/search?q=Aberdeen township+New Jersey
Absecon city,Atlantic,-2.94,39.43624115,-74.51787131919258,https://www.bing.com/search?q=Absecon city+New Jersey
Alexandria township,Hunterdon,3.95,40.5914175,-75.01282448445767,https://www.bing.com/search?q=Alexandria township+New Jersey
Allamuchy township,Warren,4.03,40.921765,-74.8101665,https://www.bing.com/search?q=Allamuchy township+New Jersey
Alloway township,Salem,0.83,39.5608569,-75.3623971,https://www.bing.com/search?q=Alloway township+New Jersey
Andover borough,Sussex,-1.39,40.98887495,-74.74199103927825,https://www.bing.com/search?q=Andover borough+New Jersey
Andover township,Sussex,0.94,41.0156092,-74.7297505,https://www.bing.com/search?q=Andover township+New Jersey
Atlantic City city,Atlantic,-20.13,39.3642852,-74.4229351,https://www.bing.com/search?q=Atlantic City city+New Jersey
Avon-by-the-Sea borough,Monmouth,2.42,40.19075925,-74.02312894672164,https://www.bing.com/search?q=Avon-by-the-Sea borough+New Jersey
Barnegat Light borough,Ocean,5.19,39.75841455,-74.10488950430846,https://www.bing.com/search?q=Barnegat Light borough+New Jersey
Barnegat township,Ocean,-1.16,39.7531754,-74.2229179,https://www.bing.com/search?q=Barnegat township+New Jersey
Bass River township,Burlington,-5.41,39.5926182,-74.4426494,https://www.bing.com/search?q=Bass River township+New Jersey
Bayonne city,Hudson,-5.16,40.6683682,-74.1171196,https://www.bing.com/search?q=Bayonne city+New Jersey
Beach Haven borough,Ocean,-0.05,39.562786900000006,-74.24110928980448,https://www.bing.com/search?q=Beach Haven borough+New Jersey
Bedminster township,Somerset,3.94,40.6741476,-74.6809503,https://www.bing.com/search?q=Bedminster township+New Jersey
Berkeley township,Ocean,-2.15,39.8979458,-74.1807001,https://www.bing.com/search?q=Berkeley township+New Jersey
Berlin borough,Camden,0.1,39.795699,-74.95036142554002,https://www.bing.com/search?q=Berlin borough+New Jersey
Berlin township,Camden,0.31,39.8092374,-74.9418173,https://www.bing.com/search?q=Berlin township+New Jersey
Bernards township,Somerset,4.91,40.676207,-74.56335484708535,https://www.bing.com/search?q=Bernards township+New Jersey
Bethlehem township,Hunterdon,3.82,40.66859885,-75.01027786434364,https://www.bing.com/search?q=Bethlehem township+New Jersey
Beverly city,Burlington,-5.13,40.0635699,-74.9200392,https://www.bing.com/search?q=Beverly city+New Jersey
Blairstown township,Warren,1.34,40.9886564,-74.9766032,https://www.bing.com/search?q=Blairstown township+New Jersey
Bloomfield township,Essex,-0.58,40.27178525,-74.34109852298585,https://www.bing.com/search?q=Bloomfield township+New Jersey
Bloomingdale borough,Passaic,-0.88,41.00776785,-74.33925043848214,https://www.bing.com/search?q=Bloomingdale borough+New Jersey
Bogota borough,Bergen,0.4,40.8792687,-74.0298539,https://www.bing.com/search?q=Bogota borough+New Jersey
Boonton township,Morris,4.11,40.9314543,-74.4291549,https://www.bing.com/search?q=Boonton township+New Jersey
Bordentown city,Burlington,0.14,40.1557031,-74.7098080866995,https://www.bing.com/search?q=Bordentown city+New Jersey
Bordentown township,Burlington,3.79,40.1480628,-74.6946311,https://www.bing.com/search?q=Bordentown township+New Jersey
Bound Brook borough,Somerset,-1.91,40.56452345,-74.52956456758457,https://www.bing.com/search?q=Bound Brook borough+New Jersey
Bradley Beach borough,Monmouth,0.4,40.20439035,-74.01778747827748,https://www.bing.com/search?q=Bradley Beach borough+New Jersey
Branchburg township,Somerset,4.75,40.5688245,-74.70027388974506,https://www.bing.com/search?q=Branchburg township+New Jersey
Branchville borough,Sussex,-0.96,41.14960085,-74.74776564988866,https://www.bing.com/search?q=Branchville borough+New Jersey
Brick township,Ocean,0.75,40.0707244,-74.1280562,https://www.bing.com/search?q=Brick township+New Jersey
Bridgeton city,Cumberland,-18.46,39.44091815,-75.24042583183156,https://www.bing.com/search?q=Bridgeton city+New Jersey
Bridgewater township,Somerset,3.62,40.5931225,-74.604954,https://www.bing.com/search?q=Bridgewater township+New Jersey
Brielle borough,Monmouth,4.74,40.1111487,-74.0587124,https://www.bing.com/search?q=Brielle borough+New Jersey
Brigantine city,Atlantic,-1.58,39.3745275,-74.4411156,https://www.bing.com/search?q=Brigantine city+New Jersey
Buena Vista township,Atlantic,-5.04,39.5137271,-74.9246151,https://www.bing.com/search?q=Buena Vista township+New Jersey
Burlington city,Burlington,-5.5,40.070553399999994,-74.85144872749761,https://www.bing.com/search?q=Burlington city+New Jersey
Burlington township,Burlington,-0.99,40.072587,-74.88700755838619,https://www.bing.com/search?q=Burlington township+New Jersey
Byram township,Sussex,3.17,40.960173999999995,-74.71829555873032,https://www.bing.com/search?q=Byram township+New Jersey
Caldwell borough,Essex,3.13,40.861193400000005,-74.26164769545585,https://www.bing.com/search?q=Caldwell borough+New Jersey
Califon borough,Hunterdon,2.27,40.7247191,-74.83915626136846,https://www.bing.com/search?q=Califon borough+New Jersey
Camden city,Camden,-27.82,39.94483995,-75.11996184462943,https://www.bing.com/search?q=Camden city+New Jersey
Cape May city,Cape May,-4.87,38.93446795,-74.92086072352615,https://www.bing.com/search?q=Cape May city+New Jersey
Carneys Point township,Salem,-5.22,39.7112247,-75.4701961,https://www.bing.com/search?q=Carneys Point township+New Jersey
Cedar Grove township,Essex,3.74,39.7020582,-75.2307395,https://www.bing.com/search?q=Cedar Grove township+New Jersey
Chatham borough,Morris,7.73,40.7384937,-74.3848866,https://www.bing.com/search?q=Chatham borough+New Jersey
Chatham township,Morris,7.01,40.73012395,-74.42511147170626,https://www.bing.com/search?q=Chatham township+New Jersey
Cherry Hill township,Camden,1.79,39.9348351,-75.0307264,https://www.bing.com/search?q=Cherry Hill township+New Jersey
Chester township,Morris,6.22,40.78028655,-74.66720906321275,https://www.bing.com/search?q=Chester township+New Jersey
Chesterfield township,Burlington,4.36,40.1153966,-74.6412727,https://www.bing.com/search?q=Chesterfield township+New Jersey
Cinnaminson township,Burlington,3.2,39.9967789,-74.99267,https://www.bing.com/search?q=Cinnaminson township+New Jersey
City of Orange township,Essex,-10.58,40.7678002,-74.2390447,https://www.bing.com/search?q=City of Orange township+New Jersey
Clifton city,Passaic,-2.15,40.86809315,-74.1614352564055,https://www.bing.com/search?q=Clifton city+New Jersey
Clinton township,Hunterdon,4.08,40.63378,-74.85031410412654,https://www.bing.com/search?q=Clinton township+New Jersey
Collingswood borough,Camden,-0.83,39.9162044,-75.0698619,https://www.bing.com/search?q=Collingswood borough+New Jersey
Colts Neck township,Monmouth,5.65,40.2876108,-74.1723652,https://www.bing.com/search?q=Colts Neck township+New Jersey
Commercial township,Cumberland,-9.83,39.2774803,-75.0434781,https://www.bing.com/search?q=Commercial township+New Jersey
Corbin City city,Atlantic,-3.36,39.3034484,-74.7557193,https://www.bing.com/search?q=Corbin City city+New Jersey
Cranbury township,Middlesex,6.13,40.3133907,-74.5201927,https://www.bing.com/search?q=Cranbury township+New Jersey
Cranford township,Union,4.22,39.873855,-74.9926581362502,https://www.bing.com/search?q=Cranford township+New Jersey
Cresskill borough,Bergen,4.46,40.938647700000004,-73.96488949544074,https://www.bing.com/search?q=Cresskill borough+New Jersey
Deerfield township,Cumberland,-1.54,39.4774132,-75.14272867554871,https://www.bing.com/search?q=Deerfield township+New Jersey
