City,Population,"Violent
crime","Murder and
nonnegligent
manslaughter",Rape1,Robbery,"Aggravated
assault","Property
crime",Burglary,"Larceny-
theft","Motor
vehicle
theft",Arson,Crime_Index
Aberdeen Township,18378.0,11.0,0.0,2.0,2.0,7.0,163.0,18.0,137.0,8.0,0.0,189.35683969964086
Absecon,8252.0,17.0,1.0,1.0,5.0,10.0,181.0,16.0,159.0,6.0,0.0,479.88366456616575
Allendale,6865.0,3.0,0.0,1.0,0.0,2.0,30.0,4.0,23.0,3.0,0.0,96.13983976693372
Allenhurst,488.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,4.0,3.0,0.0,286.88524590163934
Allentown,1809.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,4.0,0.0,0.0,55.2791597567717
Alpha,2288.0,1.0,0.0,1.0,0.0,0.0,38.0,6.0,32.0,0.0,0.0,340.9090909090909
Alpine,1873.0,1.0,0.0,1.0,0.0,0.0,24.0,4.0,11.0,9.0,0.0,266.9514148424987
Andover Township,5936.0,2.0,0.0,0.0,0.0,2.0,14.0,4.0,9.0,1.0,0.0,53.90835579514825
Asbury Park,15717.0,174.0,3.0,10.0,54.0,107.0,653.0,101.0,538.0,14.0,1.0,1052.9999363746263
Atlantic City,38271.0,276.0,7.0,11.0,131.0,127.0,1181.0,116.0,994.0,71.0,1.0,761.673329675211
Atlantic Highlands,4302.0,1.0,0.0,0.0,0.0,1.0,40.0,2.0,38.0,0.0,0.0,190.60901906090191
Audubon,8599.0,0.0,0.0,0.0,0.0,0.0,296.0,28.0,262.0,6.0,0.0,688.4521455983254
Audubon Park,997.0,4.0,0.0,0.0,0.0,4.0,11.0,4.0,6.0,1.0,0.0,300.90270812437313
Avalon,1258.0,2.0,0.0,0.0,0.0,2.0,138.0,7.0,130.0,1.0,0.0,2225.7551669316376
Avon-by-the-Sea,1780.0,1.0,0.0,0.0,0.0,1.0,31.0,3.0,26.0,2.0,0.0,359.55056179775283
Barnegat Light,580.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,11.0,0.0,0.0,413.7931034482759
Barnegat Township,22777.0,13.0,0.0,5.0,1.0,7.0,120.0,25.0,92.0,3.0,0.0,116.7844755674584
Barrington,6661.0,5.0,0.0,0.0,0.0,5.0,113.0,16.0,94.0,3.0,1.0,355.8024320672572
Bay Head,971.0,0.0,0.0,0.0,0.0,0.0,17.0,3.0,13.0,1.0,0.0,350.15447991761073
Bayonne,66824.0,114.0,0.0,12.0,47.0,55.0,773.0,97.0,587.0,89.0,3.0,265.9224230815276
Beach Haven,1169.0,0.0,0.0,0.0,0.0,0.0,118.0,3.0,114.0,1.0,0.0,2018.819503849444
Beachwood,11146.0,6.0,0.0,1.0,5.0,0.0,130.0,19.0,111.0,0.0,0.0,244.0337340750045
Bedminster Township,8126.0,1.0,0.0,0.0,1.0,0.0,34.0,5.0,26.0,3.0,0.0,86.14324390844205
Belleville,36075.0,62.0,0.0,1.0,17.0,44.0,589.0,87.0,414.0,88.0,0.0,360.91476091476096
Bellmawr,11312.0,8.0,0.0,0.0,1.0,7.0,158.0,28.0,122.0,8.0,0.0,293.4936350777935
Belmar,5666.0,6.0,0.0,3.0,2.0,1.0,83.0,16.0,63.0,4.0,0.0,314.1546064242852
Belvidere,2592.0,1.0,0.0,0.0,0.0,1.0,47.0,18.0,27.0,2.0,0.0,370.3703703703703
Bergenfield,27684.0,1.0,0.0,0.0,1.0,0.0,76.0,12.0,60.0,4.0,0.0,55.62779945094639
Berkeley Heights Township,13646.0,4.0,0.0,1.0,0.0,3.0,60.0,14.0,38.0,8.0,0.0,93.80038106404807
Berkeley Township,41331.0,25.0,0.0,6.0,6.0,13.0,378.0,68.0,300.0,10.0,0.0,195.0110086859742
Berlin,7495.0,13.0,0.0,2.0,0.0,11.0,123.0,12.0,103.0,8.0,1.0,364.2428285523682
Berlin Township,5532.0,4.0,0.0,1.0,1.0,2.0,163.0,15.0,144.0,4.0,1.0,605.5676066522053
Bernards Township,26813.0,2.0,0.0,0.0,1.0,1.0,87.0,13.0,66.0,8.0,0.0,66.38570842501771
Bernardsville,7742.0,1.0,0.0,0.0,0.0,1.0,39.0,2.0,36.0,1.0,0.0,103.33247222939809
Beverly,2497.0,7.0,0.0,1.0,0.0,6.0,44.0,20.0,22.0,2.0,0.0,408.490188225871
Blairstown Township,5787.0,3.0,0.0,0.0,0.0,3.0,30.0,16.0,13.0,1.0,0.0,114.04872991187145
Bloomfield,50777.0,50.0,2.0,1.0,19.0,28.0,647.0,71.0,488.0,88.0,1.0,274.7306851527266
Bloomingdale,8211.0,1.0,0.0,0.0,0.0,1.0,37.0,6.0,30.0,1.0,0.0,92.55876263548897
Bogota,8499.0,2.0,1.0,0.0,1.0,0.0,45.0,8.0,34.0,3.0,0.0,110.60124720555359
Boonton,8236.0,7.0,0.0,1.0,2.0,4.0,94.0,11.0,79.0,4.0,0.0,245.26469159786305
Boonton Township,4299.0,2.0,0.0,1.0,1.0,0.0,24.0,3.0,20.0,1.0,0.0,120.95836240986276
Bordentown City,3823.0,3.0,0.0,0.0,2.0,1.0,23.0,7.0,11.0,5.0,0.0,136.0188333769291
Bordentown Township,12323.0,14.0,0.0,3.0,3.0,8.0,99.0,15.0,72.0,12.0,0.0,183.39690010549378
Bound Brook,10360.0,13.0,0.0,2.0,9.0,2.0,114.0,33.0,75.0,6.0,0.0,245.17374517374517
Bradley Beach,4214.0,1.0,0.0,1.0,0.0,0.0,55.0,2.0,53.0,0.0,0.0,265.78073089700996
Branchburg Township,14577.0,4.0,0.0,2.0,0.0,2.0,80.0,5.0,70.0,5.0,0.0,115.25005145091582
Brick Township,74712.0,65.0,0.0,12.0,8.0,45.0,904.0,113.0,768.0,23.0,4.0,259.93147017882
Bridgeton,24386.0,203.0,5.0,12.0,107.0,79.0,720.0,163.0,510.0,47.0,2.0,757.8118592635119
Bridgewater Township,45050.0,16.0,0.0,0.0,9.0,7.0,331.0,53.0,265.0,13.0,0.0,154.05105438401776
Brielle,4719.0,0.0,0.0,0.0,0.0,0.0,23.0,4.0,14.0,5.0,0.0,97.47827929646111
Brigantine,8896.0,1.0,0.0,0.0,0.0,1.0,129.0,23.0,105.0,1.0,0.0,292.2661870503597
Brooklawn,1904.0,16.0,0.0,3.0,6.0,7.0,132.0,8.0,116.0,8.0,0.0,1554.6218487394958
Buena,4405.0,5.0,0.0,0.0,1.0,4.0,72.0,13.0,58.0,1.0,0.0,349.60272417707154
Burlington City,9817.0,37.0,1.0,1.0,10.0,25.0,211.0,60.0,139.0,12.0,0.0,505.24600183355403
Burlington Township,22857.0,35.0,0.0,7.0,10.0,18.0,274.0,45.0,218.0,11.0,0.0,270.37668985431156
Butler,7679.0,0.0,0.0,0.0,0.0,0.0,50.0,11.0,37.0,2.0,0.0,130.22528975126968
Byram Township,7925.0,3.0,0.0,1.0,0.0,2.0,45.0,4.0,40.0,1.0,0.0,121.13564668769715
Caldwell,7999.0,5.0,0.0,2.0,0.0,3.0,49.0,16.0,31.0,2.0,0.0,135.0168771096387
Califon,1068.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Camden County Police Department,73140.0,1198.0,23.0,64.0,355.0,756.0,2219.0,458.0,1242.0,519.0,40.0,939.8414000546896
Cape May,3463.0,4.0,0.0,1.0,0.0,3.0,72.0,8.0,62.0,2.0,0.0,438.9257868899798
Cape May Point,277.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,144.4043321299639
Carlstadt,6252.0,6.0,0.0,0.0,2.0,4.0,87.0,5.0,79.0,3.0,0.0,297.5047984644914
Carney's Point Township,7655.0,16.0,0.0,4.0,7.0,5.0,86.0,23.0,60.0,3.0,1.0,267.79882429784453
Carteret,23921.0,45.0,1.0,4.0,15.0,25.0,295.0,35.0,236.0,24.0,2.0,285.10513774507757
Cedar Grove Township,12566.0,4.0,0.0,0.0,2.0,2.0,86.0,17.0,63.0,6.0,0.0,143.24367340442464
Chatham,8793.0,0.0,0.0,0.0,0.0,0.0,39.0,5.0,30.0,4.0,0.0,88.70692596383488
Chatham Township,10288.0,0.0,0.0,0.0,0.0,0.0,33.0,2.0,26.0,5.0,0.0,64.15241057542768
Cherry Hill Township,70578.0,92.0,0.0,0.0,57.0,35.0,2026.0,148.0,1839.0,39.0,1.0,600.3287143302446
Chesilhurst,1617.0,3.0,0.0,0.0,0.0,3.0,47.0,22.0,19.0,6.0,1.0,624.6134817563388
Chester,1643.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,6.0,0.0,0.0,73.03712720632988
Chesterfield Township,7567.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,13.0,1.0,0.0,37.00277520814061
Chester Township,7809.0,0.0,0.0,0.0,0.0,0.0,22.0,5.0,14.0,3.0,0.0,56.345242668715585
Cinnaminson Township,16630.0,14.0,0.0,3.0,3.0,8.0,286.0,42.0,237.0,7.0,0.0,360.7937462417318
Clark Township,16079.0,4.0,0.0,0.0,2.0,2.0,227.0,7.0,213.0,7.0,0.0,287.33130169786676
Clayton,8624.0,10.0,0.0,1.0,3.0,6.0,70.0,7.0,58.0,5.0,0.0,185.5287569573284
Clementon,4887.0,11.0,0.0,0.0,8.0,3.0,139.0,45.0,87.0,7.0,0.0,613.8735420503376
Cliffside Park,25001.0,15.0,0.0,5.0,4.0,6.0,150.0,17.0,121.0,12.0,0.0,131.99472021119155
Clifton,85732.0,97.0,1.0,3.0,43.0,50.0,1354.0,162.0,1096.0,96.0,1.0,338.61335324033035
Clinton,2699.0,1.0,0.0,0.0,0.0,1.0,13.0,5.0,7.0,1.0,0.0,103.74212671359764
Clinton Township,12824.0,1.0,0.0,1.0,0.0,0.0,50.0,15.0,34.0,1.0,0.0,79.53836556456643
Closter,8691.0,1.0,0.0,0.0,0.0,1.0,58.0,1.0,49.0,8.0,0.0,135.7726383615234
Collingswood,13843.0,30.0,0.0,3.0,13.0,14.0,279.0,51.0,200.0,28.0,2.0,447.87979484215845
Colts Neck Township,9944.0,8.0,5.0,0.0,1.0,2.0,51.0,8.0,29.0,14.0,1.0,119.67015285599356
Cranbury Township,3900.0,0.0,0.0,0.0,0.0,0.0,37.0,1.0,35.0,1.0,0.0,189.74358974358975
Cranford Township,24353.0,7.0,0.0,0.0,2.0,5.0,145.0,7.0,131.0,7.0,0.0,124.83061635116825
Cresskill,8862.0,1.0,0.0,0.0,0.0,1.0,47.0,11.0,25.0,11.0,0.0,108.32769126607988
Deal,730.0,2.0,0.0,0.0,0.0,2.0,23.0,2.0,12.0,9.0,0.0,684.931506849315
Delanco Township,4509.0,5.0,0.0,3.0,2.0,0.0,47.0,12.0,32.0,3.0,0.0,230.64981148813484
Delaware Township,4461.0,1.0,0.0,0.0,0.0,1.0,14.0,2.0,9.0,3.0,0.0,67.24949562878278
Delran Township,16579.0,8.0,0.0,3.0,2.0,3.0,176.0,26.0,143.0,7.0,0.0,221.96754930936726
Demarest,4977.0,0.0,0.0,0.0,0.0,0.0,21.0,2.0,10.0,9.0,0.0,84.38818565400844
Denville Township,16737.0,2.0,0.0,1.0,1.0,0.0,90.0,7.0,77.0,6.0,1.0,110.53354842564379
Deptford Township,30137.0,47.0,2.0,8.0,22.0,15.0,1153.0,163.0,954.0,36.0,0.0,796.3632743803298
Dover,17982.0,26.0,0.0,1.0,10.0,15.0,187.0,32.0,141.0,14.0,1.0,237.45968190412637
