Folder Name,Social Positive Count,Social Negative Count,Social Neutral Count,Average,Average_P_N,Scaled_Average_P_N
Aberdeen township,104,31,212,24.333333333333332,36.5,0.20857142857142857
Absecon city,213,48,275,55.0,82.5,0.4714285714285714
Alexandria township,71,32,177,13.0,19.5,0.11142857142857143
Allamuchy township,182,25,238,52.333333333333336,78.5,0.44857142857142857
Alloway township,34,3,10,10.333333333333334,15.5,0.08857142857142856
Andover borough,121,37,268,28.0,42.0,0.24
Andover township,40,7,32,11.0,16.5,0.09428571428571429
Atlantic City city,177,24,102,51.0,76.5,0.43714285714285717
Avon-by-the-Sea borough,27,6,28,7.0,10.5,0.06
Barnegat Light borough,114,27,186,29.0,43.5,0.24857142857142858
Barnegat township,79,14,48,21.666666666666668,32.5,0.18571428571428572
Bass River township,6,4,7,0.6666666666666666,1.0,0.005714285714285714
Bayonne city,216,101,419,38.333333333333336,57.5,0.32857142857142857
Beach Haven borough,59,9,82,16.666666666666668,25.0,0.14285714285714285
Bedminster township,79,25,98,18.0,27.0,0.15428571428571428
Berkeley township,191,41,142,50.0,75.0,0.42857142857142855
Berlin borough,220,168,266,17.333333333333332,26.0,0.14857142857142858
Berlin township,210,79,108,43.666666666666664,65.5,0.3742857142857143
Bernards township,215,55,128,53.333333333333336,80.0,0.45714285714285713
Bethlehem township,77,10,91,22.333333333333332,33.5,0.19142857142857142
Beverly city,158,65,106,31.0,46.5,0.26571428571428574
Blairstown township,178,30,72,49.333333333333336,74.0,0.4228571428571429
Bloomfield township,208,54,171,51.333333333333336,77.0,0.44
Bloomingdale borough,163,106,180,19.0,28.5,0.16285714285714287
Bogota borough,160,36,215,41.333333333333336,62.0,0.35428571428571426
Boonton township,156,46,159,36.666666666666664,55.0,0.3142857142857143
Bordentown city,420,70,312,116.66666666666667,175.0,1.0
Bordentown township,208,36,189,57.333333333333336,86.0,0.49142857142857144
Bound Brook borough,119,68,257,17.0,25.5,0.1457142857142857
Bradley Beach borough,118,27,105,30.333333333333332,45.5,0.26
Branchburg township,92,45,78,15.666666666666666,23.5,0.13428571428571429
Branchville borough,90,46,129,14.666666666666666,22.0,0.12571428571428572
Brick township,225,53,160,57.333333333333336,86.0,0.49142857142857144
Bridgeton city,269,47,306,74.0,111.0,0.6342857142857142
Bridgewater township,193,50,127,47.666666666666664,71.5,0.4085714285714286
Brielle borough,134,58,186,25.333333333333332,38.0,0.21714285714285714
Brigantine city,286,73,237,71.0,106.5,0.6085714285714285
Buena Vista township,21,2,11,6.333333333333333,9.5,0.054285714285714284
Burlington city,247,65,161,60.666666666666664,91.0,0.52
Burlington township,38,5,26,11.0,16.5,0.09428571428571429
Byram township,114,39,101,25.0,37.5,0.21428571428571427
Caldwell borough,173,41,289,44.0,66.0,0.37714285714285717
Califon borough,80,42,158,12.666666666666666,19.0,0.10857142857142857
Camden city,296,106,209,63.333333333333336,95.0,0.5428571428571428
Cape May city,273,48,282,75.0,112.5,0.6428571428571429
Carneys Point township,222,23,112,66.33333333333333,99.5,0.5685714285714286
Cedar Grove township,144,80,134,21.333333333333332,32.0,0.18285714285714286
Chatham borough,384,102,632,94.0,141.0,0.8057142857142857
Chatham township,42,7,34,11.666666666666666,17.5,0.1
Cherry Hill township,369,102,440,89.0,133.5,0.7628571428571429
Chester township,88,55,118,11.0,16.5,0.09428571428571429
Chesterfield township,116,23,191,31.0,46.5,0.26571428571428574
Cinnaminson township,154,42,133,37.333333333333336,56.0,0.32
City of Orange township,74,28,79,15.333333333333334,23.0,0.13142857142857142
Clifton city,272,73,145,66.33333333333333,99.5,0.5685714285714286
Clinton township,145,30,70,38.333333333333336,57.5,0.32857142857142857
Collingswood borough,103,33,125,23.333333333333332,35.0,0.2
Colts Neck township,427,173,508,84.66666666666667,127.0,0.7257142857142858
Commercial township,98,49,151,16.333333333333332,24.5,0.14
Corbin City city,94,40,71,18.0,27.0,0.15428571428571428
Cranbury township,250,17,94,77.66666666666667,116.5,0.6657142857142857
Cranford township,45,6,57,13.0,19.5,0.11142857142857143
Cresskill borough,284,66,446,72.66666666666667,109.0,0.6228571428571429
Deerfield township,183,25,168,52.666666666666664,79.0,0.4514285714285714
Delanco township,3,2,9,0.3333333333333333,0.5,0.002857142857142857
Delaware township,127,29,148,32.666666666666664,49.0,0.28
Delran township,132,121,101,3.6666666666666665,5.5,0.03142857142857143
Dennis township,193,67,206,42.0,63.0,0.36
Denville township,103,47,100,18.666666666666668,28.0,0.16
Deptford township,74,11,64,21.0,31.5,0.18
Dover town,205,166,170,13.0,19.5,0.11142857142857143
Downe township,140,29,101,37.0,55.5,0.3171428571428571
Dumont borough,19,0,23,6.333333333333333,9.5,0.054285714285714284
Eagleswood township,70,19,54,17.0,25.5,0.1457142857142857
East Amwell township,130,35,226,31.666666666666668,47.5,0.2714285714285714
East Brunswick township,113,28,210,28.333333333333332,42.5,0.24285714285714285
East Greenwich township,113,40,114,24.333333333333332,36.5,0.20857142857142857
East Hanover township,183,64,264,39.666666666666664,59.5,0.34
East Orange city,174,52,103,40.666666666666664,61.0,0.3485714285714286
East Windsor township,85,94,98,-3.0,-4.5,-0.3333333333333335
Eastampton township,138,30,101,36.0,54.0,0.30857142857142855
Edgewater Park township,58,7,29,17.0,25.5,0.1457142857142857
Edison township,165,117,146,16.0,24.0,0.13714285714285715
Egg Harbor City city,93,41,72,17.333333333333332,26.0,0.14857142857142858
Egg Harbor township,31,3,12,9.333333333333334,14.0,0.08
Elizabeth city,68,15,54,17.666666666666668,26.5,0.15142857142857144
Elk township,74,15,32,19.666666666666668,29.5,0.16857142857142857
Elsinboro township,25,12,21,4.333333333333333,6.5,0.037142857142857144
Estell Manor city,83,72,40,3.6666666666666665,5.5,0.03142857142857143
Evesham township,79,50,66,9.666666666666666,14.5,0.08285714285714285
Ewing township,82,14,85,22.666666666666668,34.0,0.19428571428571428
Fairfield township,28,11,46,5.666666666666667,8.5,0.04857142857142857
Fanwood borough,1,0,0,0.3333333333333333,0.5,0.002857142857142857
Fieldsboro borough,97,25,72,24.0,36.0,0.2057142857142857
Florence township,35,8,60,9.0,13.5,0.07714285714285714
Frankford township,23,4,9,6.333333333333333,9.5,0.054285714285714284
Franklin borough,9,12,8,-1.0,-1.5,-0.08333333333333348
Franklin Lakes borough,78,5,41,24.333333333333332,36.5,0.20857142857142857
Franklin township,68,12,144,18.666666666666668,28.0,0.16
Fredon township,8,2,9,2.0,3.0,0.017142857142857144
Freehold borough,87,28,36,19.666666666666668,29.5,0.16857142857142857
Freehold township,240,107,163,44.333333333333336,66.5,0.38
Frelinghuysen township,19,8,23,3.6666666666666665,5.5,0.03142857142857143
Galloway township,6,0,3,2.0,3.0,0.017142857142857144
Garfield city,48,29,63,6.333333333333333,9.5,0.054285714285714284
Glen Gardner borough,106,40,180,22.0,33.0,0.18857142857142858
Glen Ridge borough,47,33,74,4.666666666666667,7.0,0.04
Gloucester City city,158,47,133,37.0,55.5,0.3171428571428571
Gloucester township,115,23,192,30.666666666666668,46.0,0.26285714285714284
Green Brook township,38,25,28,4.333333333333333,6.5,0.037142857142857144
Green township,8,2,9,2.0,3.0,0.017142857142857144
Greenwich township,21,11,26,3.3333333333333335,5.0,0.02857142857142857
Hackensack city,231,119,536,37.333333333333336,56.0,0.32
Haddon Heights borough,0,0,0,0.0,0.0,0.0
Haddon township,74,18,61,18.666666666666668,28.0,0.16
Hainesport township,21,4,22,5.666666666666667,8.5,0.04857142857142857
Haledon borough,33,7,29,8.666666666666666,13.0,0.07428571428571429
Hamilton township,67,33,109,11.333333333333334,17.0,0.09714285714285714
Hampton borough,59,37,55,7.333333333333333,11.0,0.06285714285714286
Hampton township,40,19,126,7.0,10.5,0.06
Hanover township,62,11,67,17.0,25.5,0.1457142857142857
Harding township,40,5,37,11.666666666666666,17.5,0.1
Hardwick township,73,11,65,20.666666666666668,31.0,0.17714285714285713
Hardyston township,29,3,28,8.666666666666666,13.0,0.07428571428571429
Harmony township,52,2,24,16.666666666666668,25.0,0.14285714285714285
Harrison township,60,9,61,17.0,25.5,0.1457142857142857
Harvey Cedars borough,23,7,14,5.333333333333333,8.0,0.045714285714285714
Hawthorne borough,58,24,72,11.333333333333334,17.0,0.09714285714285714
Hazlet township,76,16,81,20.0,30.0,0.17142857142857143
High Bridge borough,80,26,90,18.0,27.0,0.15428571428571428
Highland Park borough,29,9,8,6.666666666666667,10.0,0.05714285714285714
Hillsborough township,40,13,38,9.0,13.5,0.07714285714285714
Hoboken city,106,10,37,32.0,48.0,0.2742857142857143
Holland township,26,8,25,6.0,9.0,0.05142857142857143
Holmdel township,45,9,51,12.0,18.0,0.10285714285714286
Hopatcong borough,84,30,41,18.0,27.0,0.15428571428571428
Hope township,183,10,105,57.666666666666664,86.5,0.4942857142857143
Hopewell borough,112,51,134,20.333333333333332,30.5,0.1742857142857143
Hopewell township,55,12,42,14.333333333333334,21.5,0.12285714285714286
Howell township,30,10,36,6.666666666666667,10.0,0.05714285714285714
Independence township,47,13,64,11.333333333333334,17.0,0.09714285714285714
Irvington township,0,0,0,0.0,0.0,0.0
Jackson township,90,8,89,27.333333333333332,41.0,0.2342857142857143
Jefferson township,92,23,76,23.0,34.5,0.19714285714285715
Jersey City city,145,49,159,32.0,48.0,0.2742857142857143
Kingwood township,12,0,9,4.0,6.0,0.03428571428571429
Kinnelon borough,31,34,29,-1.0,-1.5,-0.08333333333333348
Knowlton township,12,11,25,0.3333333333333333,0.5,0.002857142857142857
Lacey township,0,0,1,0.0,0.0,0.0
Lafayette township,17,2,20,5.0,7.5,0.04285714285714286
Lakewood township,36,13,45,7.666666666666667,11.5,0.06571428571428571
Lambertville city,41,2,27,13.0,19.5,0.11142857142857143
Lawrence township,34,9,53,8.333333333333334,12.5,0.07142857142857142
Lebanon borough,59,18,147,13.666666666666666,20.5,0.11714285714285715
Lebanon township,20,18,18,0.6666666666666666,1.0,0.005714285714285714
Leonia borough,0,0,0,0.0,0.0,0.0
Liberty township,60,11,43,16.333333333333332,24.5,0.14
